Resource,Website,Email,Phone number,Office Location,Office Hours,Pertinent Info,Keywords,,,,,,,,,,,,,
BCAL,https://besafe.utexas.edu/behavior-concerns-advice-line,,512-232-5050,,Can call 24/7/365 ,"Can call whenever, but online forms processed Monday - Friday (8am-5pm)",report,concern,behavior,anxious,worried,,,,,,,,,
Bus Routes,https://parking.utexas.edu/transportation/shuttles,shuttle@utexas.edu,(512) 474-1200,,,,bus,bus AND route,public AND transportation,metro,UT AND shuttle,shuttle,,,,,,,,
Center for Students in Recovery,https://recovery.utexas.edu/,CSRUTAustin@austin.utexas.edu,512-475-6778,Bellmont 222,Meetings vary check the schedule,,recovery,sober,alcohol,,,,,,,,,,,
CMHC - Crisis Line,https://cmhc.utexas.edu/24hourcounseling.html,,512-471-CALL (2255),,Can call 24/7,"If you have concerns about a student, faculty, or staff member in the UT-Austin community, contact the 24-hour Behavior Concerns Advice Line (BCAL) at 512-232-5050.",suicide,crisis,depression,stress,anxiety,mental AND health,,,,,,,,
CMHC - General,https://cmhc.utexas.edu/,,(512) 471-3515,Student Services Building  ,Monday -  Friday 8:00am-5:00pm,,mental AND health,,,,,,,,,,,,,
CMHC - Groups ,https://www.cmhc.utexas.edu/groups.html,,(512) 471-3515 ,Student Services Building (5th floor)    ,"Monday thru Friday, 8:00am - 5:00pm
Appointments Monday thru Friday, 8:00am-12:00pm & 1:00pm-4:00pm ",All groups are free and confidential,group AND counseling,group AND therapy,,,,,,,,,,,,
CMHC - Mind Body Labs,https://cmhc.utexas.edu/mindbodylab.html,," 
(512) 471-3515",Student Services Building (5th floor)  and the Student Activities Center (2.106)  ,"Monday through Friday, 8:00am - 4:30pm",No Appointment Necessary,mental AND health,stress,destress,relax,,,,,,,,,,
CMHC - Thrive App,https://cmhc.utexas.edu/thrive/,,,,,"For more info, go to: https://cmhc.utexas.edu/thrive/",CMHC AND app,Thrive AND app,application,,,,,,,,,,,
CMHC- CARE counselors,,,Call a licensed social worker for more information (512) 475-6914 ,,,"Laura Dannenmaier, LCSW 
School of Architecture

Mike Andorka, PhD 
Dell Medical School 
School of Nursing 
School of Social Work

Aaron Evans, LPC 
College of Liberal Arts

Toby Leblanc, LPC-S 
College of Education 
McCombs School of Business

Abby Simpson, LCSW 
College of Fine Arts 
Moody College of Communication

Jeni Wade, LCSW 
Cockrell College of Engineering

Amy Tao-Foster, LPC 
College of Natural Sciences",care AND counselors,cmhc counselors,social AND worker,,,,,,,,,,,
Family Life Services,https://familylife.utexas.edu/resources,familylife@austin.utexas.edu,,,,Resources are provided through the website,family AND life,childcare,,,,,,,,,,,,
